# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
1,1,0,3,4,-1
1,1,1,7,5,2
1,1,2,2,2,0
1,1,3,5,3,2
1,1,4,0,0,0
1,1,5,13,10,3
1,1,6,8,5,3
1,1,7,4,1,3
1,1,8,20,7,13
1,1,9,0,1,-1
1,1,10,5,5,0
1,1,11,8,9,-1
1,1,12,6,3,3
1,1,13,0,4,-4
1,1,14,2,12,-10
1,1,15,5,9,-4
1,1,16,9,17,-8
1,1,17,5,4,1
1,1,18,18,6,12
1,1,19,4,1,3
1,1,20,11,6,5
1,1,21,0,0,0
1,1,22,2,3,-1
1,1,23,12,6,6
1,1,24,4,4,0
1,1,25,3,5,-2
1,1,26,1,6,-5
1,1,27,3,6,-3
1,1,28,2,4,-2
1,1,29,5,2,3
1,1,30,6,12,-6
1,1,31,6,7,-1
1,1,32,3,6,-3
1,1,33,1,8,-7
1,1,34,3,1,2
1,1,35,3,4,-1
1,1,36,4,2,2
1,1,37,7,6,1
1,1,38,10,17,-7
1,1,39,12,5,7
1,1,40,14,13,1
1,1,41,10,13,-3
1,1,42,5,1,4
1,1,43,5,11,-6
1,1,44,3,7,-4
1,1,45,3,4,-1
1,1,46,1,4,-3
1,1,47,6,2,4
1,1,48,3,6,-3
1,1,49,12,6,6
1,1,50,0,3,-3
1,1,51,5,3,2
1,1,52,2,3,-1
1,1,53,2,2,0
1,1,54,2,4,-2
1,1,55,4,4,0
1,1,56,6,8,-2
1,1,57,4,8,-4
1,1,58,5,15,-10
1,1,59,4,0,4
1,1,60,15,7,8
1,1,61,3,6,-3
1,1,62,12,14,-2
1,1,63,10,10,0
1,1,64,6,3,3
1,1,65,7,7,0
1,1,66,4,7,-3
1,1,67,6,14,-8
1,1,68,0,4,-4
1,1,69,4,2,2
1,1,70,6,12,-6
1,1,71,7,3,4
1,1,72,3,6,-3
1,1,73,7,7,0
1,1,74,1,3,-2
1,1,75,13,10,3
1,1,76,0,2,-2
1,1,77,7,5,2
1,1,78,4,5,-1
1,1,79,4,8,-4
1,1,80,3,5,-2
1,1,81,5,10,-5
1,1,82,4,2,2
1,1,83,9,6,3
1,1,84,1,3,-2
1,1,85,1,0,1
1,1,86,6,14,-8
1,1,87,15,3,12
1,1,88,4,8,-4
1,1,89,6,5,1
1,1,90,4,6,-2
1,1,91,1,1,0
1,1,92,7,5,2
1,1,93,4,6,-2
1,1,94,16,7,9
1,1,95,4,5,-1
1,1,96,6,2,4
1,1,97,4,7,-3
1,1,98,3,1,2
1,1,99,9,2,7
1,1,100,1,7,-6
1,1,101,13,5,8
1,1,102,18,20,-2
1,1,103,7,3,4
1,1,104,19,10,9
1,1,105,3,5,-2
1,1,106,0,2,-2
1,1,107,6,13,-7
1,1,108,8,8,0
1,1,109,5,11,-6
1,1,110,4,4,0
1,1,111,13,6,7
1,1,112,6,6,0
1,1,113,7,11,-4
1,1,114,8,8,0
1,1,115,0,1,-1
1,1,116,16,15,1
1,1,117,3,6,-3
1,1,118,2,4,-2
1,1,119,8,8,0
1,1,120,8,7,1
1,1,121,2,3,-1
1,1,122,7,7,0
1,1,123,2,4,-2
1,1,124,8,8,0
1,1,125,8,1,7
1,1,126,6,3,3
1,1,127,5,2,3
1,1,128,5,14,-9
1,1,129,3,1,2
1,1,130,2,2,0
1,1,131,6,7,-1
1,1,132,6,4,2
1,1,133,9,4,5
1,1,134,5,7,-2
1,1,135,9,6,3
1,1,136,2,5,-3
1,1,137,3,2,1
1,1,138,2,1,1
1,1,139,12,10,2
1,1,140,10,6,4
1,1,141,9,8,1
1,1,142,8,9,-1
1,1,143,3,10,-7
1,1,144,5,10,-5
1,1,145,7,5,2
1,1,146,5,4,1
1,1,147,4,7,-3
1,1,148,2,6,-4
1,1,149,9,6,3
1,1,150,3,15,-12
1,1,151,3,8,-5
1,1,152,6,15,-9
1,1,153,6,3,3
1,1,154,4,9,-5
1,1,155,5,1,4
1,1,156,9,6,3
1,1,157,5,4,1
1,1,158,2,8,-6
1,1,159,2,1,1
1,1,160,4,4,0
1,1,161,6,3,3
1,1,162,3,6,-3
1,1,163,6,15,-9
1,1,164,6,9,-3
1,1,165,4,17,-13
1,1,166,4,10,-6
1,1,167,9,8,1
1,1,168,7,3,4
1,1,169,6,12,-6
1,1,170,12,15,-3
1,1,171,7,8,-1
1,1,172,1,0,1
1,1,173,7,4,3
1,1,174,1,12,-11
1,1,175,5,8,-3
1,1,176,17,6,11
1,1,177,3,3,0
1,1,178,1,8,-7
1,1,179,4,4,0
1,1,180,6,6,0
1,1,181,11,5,6
1,1,182,6,6,0
1,1,183,7,4,3
1,1,184,1,3,-2
1,1,185,11,7,4
1,1,186,7,3,4
1,1,187,3,8,-5
1,1,188,2,3,-1
1,1,189,9,6,3
1,1,190,10,16,-6
1,1,191,2,1,1
1,1,192,11,5,6
1,1,193,7,10,-3
1,1,194,3,3,0
1,1,195,6,1,5
1,1,196,19,17,2
1,1,197,2,2,0
1,1,198,6,10,-4
1,1,199,12,6,6
1,1,200,0,7,-7
1,1,201,4,5,-1
1,1,202,1,1,0
1,1,203,4,5,-1
1,1,204,2,5,-3
1,1,205,9,10,-1
1,1,206,5,13,-8
1,1,207,2,6,-4
1,1,208,3,14,-11
1,1,209,15,7,8
1,1,210,8,13,-5
1,1,211,11,8,3
1,1,212,4,9,-5
1,1,213,1,4,-3
1,1,214,11,7,4
1,1,215,2,1,1
1,1,216,4,3,1
1,1,217,2,9,-7
1,1,218,6,11,-5
1,1,219,13,8,5
1,1,220,4,17,-13
1,1,221,1,3,-2
1,1,222,8,2,6
1,1,223,5,6,-1
1,1,224,9,4,5
1,1,225,4,6,-2
1,1,226,5,7,-2
1,1,227,3,4,-1
1,1,228,12,17,-5
1,1,229,2,4,-2
1,1,230,7,7,0
1,1,231,6,10,-4
1,1,232,5,7,-2
1,1,233,8,12,-4
1,1,234,2,1,1
1,1,235,10,3,7
1,1,236,5,2,3
1,1,237,7,11,-4
1,1,238,10,6,4
1,1,239,6,8,-2
1,1,240,2,8,-6
1,1,241,9,10,-1
1,1,242,5,7,-2
1,1,243,0,3,-3
1,1,244,4,4,0
1,1,245,3,7,-4
1,1,246,4,4,0
1,1,247,8,6,2
1,1,248,1,5,-4
1,1,249,6,2,4
1,1,250,5,3,2
1,1,251,3,3,0
1,1,252,4,8,-4
1,1,253,5,2,3
1,1,254,9,6,3
1,1,255,6,6,0
1,1,256,6,8,-2
1,1,257,3,3,0
1,1,258,7,2,5
1,1,259,6,8,-2
1,1,260,6,3,3
1,1,261,4,11,-7
1,1,262,5,6,-1
1,1,263,5,4,1
1,1,264,3,7,-4
1,1,265,7,13,-6
1,1,266,10,8,2
1,1,267,2,1,1
1,1,268,3,2,1
1,1,269,2,2,0
1,1,270,6,6,0
1,1,271,5,5,0
1,1,272,3,9,-6
1,1,273,5,16,-11
1,1,274,0,1,-1
1,1,275,0,3,-3
1,1,276,4,10,-6
1,1,277,12,10,2
1,1,278,0,0,0
1,1,279,4,7,-3
1,1,280,9,5,4
1,1,281,9,7,2
1,1,282,6,15,-9
1,1,283,7,4,3
1,1,284,12,10,2
1,1,285,5,7,-2
1,1,286,4,0,4
1,1,287,4,10,-6
1,1,288,6,13,-7
1,1,289,6,7,-1
1,1,290,7,1,6
1,1,291,3,4,-1
1,1,292,5,9,-4
1,1,293,9,7,2
1,1,294,7,8,-1
1,1,295,6,7,-1
1,1,296,3,8,-5
1,1,297,6,12,-6
1,1,298,3,11,-8
1,1,299,5,5,0
2,2,0,13,12,1
2,2,1,12,14,-2
2,2,2,2,1,1
2,2,3,21,19,2
2,2,4,2,6,-4
2,2,5,14,4,10
2,2,6,8,5,3
2,2,7,11,8,3
2,2,8,2,5,-3
2,2,9,13,5,8
2,2,10,4,2,2
2,2,11,9,2,7
2,2,12,5,11,-6
2,2,13,26,12,14
2,2,14,2,2,0
2,2,15,6,6,0
2,2,16,5,8,-3
2,2,17,16,3,13
2,2,18,5,7,-2
2,2,19,2,10,-8
2,2,20,17,9,8
2,2,21,1,5,-4
2,2,22,2,7,-5
2,2,23,5,9,-4
2,2,24,6,5,1
2,2,25,6,6,0
2,2,26,1,7,-6
2,2,27,13,17,-4
2,2,28,4,5,-1
2,2,29,15,11,4
2,2,30,9,9,0
2,2,31,7,13,-6
2,2,32,10,18,-8
2,2,33,8,6,2
2,2,34,17,17,0
2,2,35,7,3,4
2,2,36,12,7,5
2,2,37,15,11,4
2,2,38,14,21,-7
2,2,39,5,5,0
2,2,40,14,6,8
2,2,41,10,13,-3
2,2,42,4,9,-5
2,2,43,21,14,7
2,2,44,6,6,0
2,2,45,3,9,-6
2,2,46,5,4,1
2,2,47,9,11,-2
2,2,48,9,14,-5
2,2,49,3,1,2
2,2,50,5,16,-11
2,2,51,4,8,-4
2,2,52,7,9,-2
2,2,53,5,5,0
2,2,54,0,8,-8
2,2,55,9,6,3
2,2,56,14,6,8
2,2,57,5,12,-7
2,2,58,9,7,2
